0,1,2
89,乐乐，12岁，是一名糖尿病的患者，每天需注射胰岛素控制血糖。多次注射后在注射局部出现了红肿、坏死等类Arthus反应，这与什么有关?,答案:B:中等大小可溶性免疫复合物形成
90,患儿，女，出生后表现持续性鹅口疮，6个月后因真菌性肺炎死亡。尸检发现其胸腺育不全。此患儿发生持续感染主要由于?,答案:B:细胞免疫缺陷
91,第一次观察到多种微生物的形态，为微生物学发展奠定基础的是?,答案:B:Leeuwenhoek
92,应用研制的牛痘苗预防天花的科学家是?,答案:E:Edward Jenner
93,证明有机物的发酵和腐败是由微生物引起的科学家是?,答案:C:Pasteur
94,肾皮质深入到肾锥体间的部分是( ),答案:B:肾柱
95,肾锥体位于( ),答案:A:肾髓质
96,和肾锥体直接有管道连通的结构是( ),答案:C:肾小盏
97,肾窦和外界相通的结构是( ),答案:E:肾门
98,主要兴奋α受体，收缩血管，升高血压:,答案:C:去甲肾上腺素
99,能翻转肾上腺素的升压作用:,答案:E:酚妥拉明
100,作用于 β受体，兴奋心脏，松弛支气管平滑肌:,答案:D:异丙肾上腺素
101,塌陷废弃矿井长期通风不良，起酸碱平衡紊乱的类型是,答案:B:呼吸性酸中毒
102,支气管扩张的重要发病因素是,答案:A:支气管的炎症损伤和管腔阻塞
103,慢性炎症组织内浸润的细胞主要是,答案:A:淋巴细胞
104,不符合伤口二期愈合的特点是:,答案:D:见于手术缝合的切口
105,不符合急性增生性肾小球肾炎的描述是,答案:E:儿童患者预后差
106,tuberculoma,答案:B:结核瘤
107,阿米巴引起肠组织坏死，主要是以何种性质的坏死为主,答案:B:液化性坏死
108,下列疾病中最易引起肠道狭窄的是 ( ),答案:E:肠结核
109,有关包涵体的描述错误的是 ?,答案:A:包涵体的形成一定是特异的
110,"不符合血清HBsAg(+), HbeAg(+)和抗HBc(+)的解释是 ?",答案:C:乙型肝炎恢复期
111,溶组织内阿米巴的致病阶段应为 ?,答案:B:滋养体期
112,下列哪种病毒可作为HDV的辅助病毒?,答案:B:HBV
113,衣原体与细菌的不同点是?,答案:C:有独特发育周期
114,关于颈椎正确的是,答案:E:第7颈椎又名隆椎
115,关于椎体间的连结，正确的是,答案:A:椎体间的连结包括椎间盘和前、后纵韧带
116,寻找输尿管口的标志是,答案:E:输尿管间襞
117,有关右心房错误的描述是,答案:D:右心房收集除心脏以外体循环的静脉血
118,供应腹腔内成对脏器的动脉是,答案:B:肾动脉
119,腹主动脉的脏支不包括,答案:E:肾上腺上动脉
120,阑尾动脉发自于,答案:D:回结肠动脉
121,属于上肢的浅静脉是,答案:C:肘正中静脉
122,晶状体位于,答案:A:虹膜与玻璃体之间
123,具有感受强光和辨色能力的是,答案:A:视锥细胞
124,正常排卵的妇女的黄体,答案:D:分泌孕酮与雌激素
125,柯蒂氏器位于下列哪一结构上?,答案:C:基底膜
126,关于嗅觉感受器的叙述，不正确的是,答案:D:对某种气味适应后，对其它气味的敏感性也降低
127,维持躯体姿势的最基本的反射是,答案:B:肌紧张
128,人的基本生命中枢位于,答案:A:延髓
129,下列哪一个激素可穿过细胞膜与核受体结合而起作用,答案:C:甲状腺激素
130,关于第二信使学说，下列哪一项是错误的,答案:B:cAMP是唯一的第二信使
131,下列哪一项不是甲状腺激素的生理作用,答案:E:减慢心率和减弱心肌收缩力
132,在去甲肾上腺素作用下，心室功能曲线移位的方向是,答案:B:左上方
133,心室肌细胞与浦肯野细胞动作电位的主要区别是,答案:E:4期自动去极化的有无
134,酮体的生成场所是(),答案:E:肝脏
135,下列哪项不可以用来进行蛋白质的盐析?,答案:E:丙酮
136,唾液淀粉酶酶促反应动力学实验中，能够增加反应速度的一根试管是,答案:C:加入了氯化钠的
137,请问主要的降糖激素是哪个?,答案:D:胰岛素
138,人体安全转运氨的方式有(),答案:D:丙氨酸
139,嘧啶核苷酸从头合成过程中，最先合成的是(),答案:A:UMP
140,RNA转录的延长过程中，不需要的亚基是()亚基。,答案:D:σ
141,下列不能在人体内分解的是(),答案:B:胆固醇
142,人体中起到主要作用的升糖激素是(),答案:C:胰高血糖素
143,请找出下列氨基酸中不属于必需氨基酸的一项。,答案:E:甘氨酸
144,判断A药比B药安全的依据是,答案:C:A药的LD50/ED50比B药大
145,口服吸收快，维持时间最短的药物是,答案:E:三唑仑
146,苯妥英钠抗癫痫作用的机理是,答案:B:抑制脑部病灶放电的扩散
147,下列药物中没有抗炎、抗风湿作用的是,答案:A:对乙酰氨基酚
148,乙酰水杨酸使发热病人体温下降，主要是由于,答案:D:机体散热增加
149,下列不属于阿司匹林禁忌证的是,答案:E:风湿性心内膜炎
150,强心苷中毒最常见的早期症状是,答案:B:胃肠道反应
151,既可治疗糖尿病又可治疗尿崩症的药物是,答案:C:氯磺丙脲
152,能抑制淋巴细胞产生干扰素的免疫抑制药是,答案:E:环孢素
153,中枢免疫器官与外周免疫器官的区别是?,答案:C:中枢免疫器官是免疫细胞分化成熟部位，外周免疫器官是免疫细胞定居及发生免疫应答的场所
154,构成膜攻击复合物(MAC)的补体成分是?,答案:A:C5b~9
155,T细胞表面的CD28和CTLA-4的共同配体是?,答案:C:B7-1(CD80)/B7-2(CD86)
156,"肿瘤细胞HLA-I类分子的表达减弱或缺失时,不能有效地激活下列哪种细胞?",答案:B:CD8+Tc细胞
157,在机体的抗肿瘤免疫效应机制中起主导作用的是?,答案:B:细胞免疫
158,关于抗毒素的使用，哪项是错误的?,答案:C:可作为免疫增强剂给儿童多次注射
159,HLA复合体基因不编码?,答案:B:HLA-I类分子的轻链(β2m)
160,既可来源于髓系祖细胞，又可来源于淋巴系祖细胞的免疫细胞是?,答案:D:树突状细胞
161,构成细胞系列的是,答案:C:单核细胞→破骨细胞
162,面斜裂的成因是,答案:D:上颌突与同侧的外侧鼻突未融合
163,关于附睾管的叙述，哪项错误,答案:B:上皮游离面的纤毛可以摆动，有助于精子运动
164,构成造血组织的是,答案:B:网状组织和造血细胞
165,不符合炎症时液体渗出机制的描述是,答案:E:小静脉增多
166,心脏房室束及其分支位于,答案:C:心内膜下层
167,胃底腺的ECL细胞分泌:,答案:A:组胺
168,关于脾内淋巴小结，哪项错误,答案:A:位于脾皮质部
169,关于脾红髓的结构特点，哪项错误,答案:C:脾血窦由高内皮细胞衬里
170,中枢淋巴器官特点之一是,答案:D:淋巴细胞增殖不受抗原直接影响
171,某人患有癌症，穿刺取肝组织，镜下，发现有类肺样组织结构，细胞核多形，核质比大，则该患者患有,答案:B:肺癌
172,某男、42岁，长期胸闷、气短、心痛，没及时就医，不幸死亡，尸解发现心包狭窄，有绒毛状物。则该人长期患有的疾病为,答案:C:风湿性心外膜炎
173,某尸检发现，其肺体积增大边缘钝圆。色灰白，质软而缺乏弹性，指压后遗留压痕。则此人死因可能是,答案:D:肺气肿
174,男性，50岁，警官，近一年来经常出现间歇性胸痛，劳累后出现症状，疼痛向左肩、左臂放射。有近20年吸烟史。此次发作持续时间超过四小时，恶心、呕吐，并出现心率失常。心电图显示T波倒置。心肌的病变是(),答案:A:心肌梗死
175,某单位发生以呕吐为主要症状的食物中毒。在餐具和厨房炊具中没培养出肠道致病菌，但在炊事人员的手上查出了化脓感染灶。请问致病菌可能是 ?,答案:B:金黄色葡萄球菌
176,"女,38岁，工人。左下腹部有痉挛性疼痛，一周前曾做过经阴道的结扎手术，阴道后穹隆穿刺术得20m1带血、恶臭的脓性液体。厌氧培养得革兰阴性杆菌，常见的病原菌是 ?",答案:E:脆弱类杆菌
177,38岁，男性，喜食毛蚶。一周前突然发病，有畏寒，发热，全身乏力，食欲不振，厌油腻，肝区疼痛，尿色渐加深至浓茶状。近日体温降低，巩膜和皮肤出现黄疸。怀疑是甲肝，为明确诊断，须做的实验室检查为?,答案:A:抗HAV-IgM
178,小明因不慎滑倒，右侧肘关节内侧着地，疼痛难忍去医院就诊。X线检查:右肱骨内上髁骨折。此部位骨折最易导致哪根神经受损( ),答案:E:尺神经
179,某患者肝脓肿继发感染，引发膈肌中心腱炎，此时最容易受到炎症侵袭的结构为( ),答案:D:下腔静脉
180,"患者李小明，男，42岁，业务经理。上腹部剑突下持续性钝痛、胀痛、灼烧感3年，饥饿时疼痛加剧，进食后疼痛缓解，于下次餐前再次发作，呈明显节律性。最近病情加重入院。检查:体温37.9℃，脉搏79次/min，X线钡餐检查发现龛影;正面观龛影呈圆形或椭圆形，边缘整齐;胃液分析基础排酸量(BAO)7 mmol/h,;幽门螺旋杆菌(HP)检测+++。诊断:十二指肠溃疡。治疗:①一个抑制胃酸的泵抑制剂，奥美拉唑等;②抗生素，阿莫西林+呋喃唑酮;③黏膜保护剂，枸橼酸铋钾，疗程10天。请问，十二指肠溃疡好发的部位在( )",答案:D:十二指肠球
181,患者男性，57岁，退休工人。因进行性排尿困难5年，急性尿潴留4小时急诊入院。患者自5年前开始小便次数增多，夜间显著，后逐渐加重，且排尿迟缓，断续，尿后滴沥，近来感排尿费力，射程缩短，尿线细无力，呈滴沥状;4小时前开始不能排尿、腹痛而就诊。检查见:下腹膨胀，体温正常，心率稍快;给予导尿后直肠指诊可触到增大的前列腺，其表面光滑，质韧，有弹性，前列腺沟已消失。X线检查未发现膀胱内有结石。诊断为:良性前列腺肥大并急性尿潴留。前列腺沟位于前列腺( ),答案:C:后叶
182,右心衰竭的病人常因为组织液生成过多而致下肢水肿，其主要原因是,答案:A:毛细血管血压增高
183,帕金森患者出现震颤麻痹是由于,答案:D:多巴胺神经递质系统功能受损
184,患者女，60岁，近2天出现尿频、尿急、尿痛、耻骨弓上不适，且有肉眼血尿，初诊为急性膀胱炎，最适宜的口服药物是,答案:B:氧氟沙星
185,患者男，48岁。因患胰腺癌入院拟行手术治疗，现空腹血糖7.8mmol/L。术前给予注射胰岛素，其作用是,答案:E:控制血糖
186,女性，50岁。病人因剧烈眼痛，头痛，恶心，呕吐，急诊来院。检查:明显的睫状出血，角膜水肿，前房浅，瞳孔中度开大，呈竖椭圆形，眼压升高为6.7kPa。房角镜检查:房角关闭。诊断:闭角型青光眼急性发作。该病人应立即给药治疗:,答案:A:毛果芸香碱
187,患者李某，肾移植手术后出现急性排斥反应，主要与供受者双方何种抗原存在差异有关?,答案:A:HLA抗原
188,患者黄某，早上8点进手术室进行肾移植手术，当移植肾血液循环恢复后不久，发现移植肾变软且呈紫色，并出现斑点状坏死。医生随即摘除移植肾，恢复透析治疗。请问此现象的发生主要与下列何种抗原有关?,答案:E:ABO血型抗原
189,隐睾(cryptorchidism)，隐睾为先天性阴囊内没有睾丸，出生后睾丸未降至阴囊底部而停留在腹腔内。4%的新生男婴出现隐睾，大多数患儿在周岁内睾丸可以降到阴囊内。双侧隐睾可导致不育的最主要原因是,答案:C:腹腔温度高，影响精子发育。
190,"男性, 17岁,左季肋部外伤后10小时, 疼痛剧烈，口渴,心悸,烦燥2小时。入院查体T37.6°C，P110次/分，B超提示腹腔内积液，临床诊断:脾破裂，采取脾切除治疗。临床脾切除后进行自体脾片移植的意义在于",答案:D:保留脾的免疫功能
191,选择性舒张脑血管:,答案:D:尼莫地平
192,治疗变异型心绞痛较好的药物:,答案:B:硝苯地平
193,黏膜局部抗感染作用的抗体是?,答案:B:sIgA
194,机体发生感染后最早出现的抗体是?,答案:C:IgM
195,天然血型抗体是?,答案:C:IgM
196,经典途径的C3转化酶是?,答案:D:C4b2b
197,MBL途径的C5转化酶是?,答案:A:C4b2b3b
198,旁路途径C3转化酶是?,答案:C:C3bBb
199,膀胱来自于,答案:B:中胚层
200,皮肤表皮来自于,答案:A:外胚层
201,酸中毒时血钾的变化规律是,答案:A:升高
202,男，60岁，因胃癌广泛转移而死亡。尸体解剖检查，心脏重200g。切片检查心肌细胞核两侧可见黄褐色细颗粒状色素，此色素可能是,答案:D:脂褐素
203,小儿肾病综合征主要见于,答案:B:轻微病变性肾小球肾炎
204,以新月体形成为特征的肾脏疾病是 ( ),答案:C:快速进行性肾小球肾炎
205,溶原性细菌是指 ?,答案:A:带有前噬菌体的细菌
206,下列细菌中繁殖最慢的是 ?,答案:D:结核分枝杆菌
207,蛔虫卵的形态与其他线虫卵主要不同是 ?,答案:E:有明显的凹凸不平的蛋白膜
208,十二指肠钩虫与美洲钩虫成虫鉴别的依据下列错误的 ?,答案:B:虫体颜色
209,卫氏并殖吸虫感染人体的方式下列错误的是 ?,答案:E:吃未熟淡水鱼
210,人体猪囊虫病的感染途径和感染阶段为 ?,答案:C:经口食入链状带绦虫卵
211,可引起疟疾再燃的虫期为 ?,答案:C:红内期无性体
212,蠕形螨的感染方式主要是通过 ?,答案:C:直接接触或间接接触
213,关于OT试验，下述哪项是正确的?,答案:E:阳性者，对结核杆菌有免疫力，细胞免疫功能正常
214,肛管内面纵行的黏膜皱襞称,答案:C:肛柱
215,肛柱下端与肛瓣所围成的小隐窝称,答案:E:肛窦
216,精子的产生部位是,答案:C:精曲小管
217,女性内生殖器不包括,答案:C:前庭大腺
218,维持子宫前倾位的韧带是,答案:B:子宫圆韧带
219,股动脉,答案:E:续于髂外动脉
220,与胃的血液供应无关的是,答案:D:胰十二指肠上动脉
221,属于下肢浅静脉的是,答案:C:大隐静脉
222,关于脊髓外形，下列正确的是,答案:B:成人脊髓下端平对第1腰椎下缘
223,与脑桥相连的脑神经是,答案:C:面神经
224,支配肱三头肌的神经是,答案:A:桡神经
225,通常所说的血型是指:,答案:C:红细胞表面特异凝集原的类型
226,听骨链传导声波的作用是使振动,答案:A:幅度减小，压强增大
227,下列对感受器电位的描述，哪项是错误的?,答案:C:为“全或无”式
228,下列关于负反馈调节的叙述，错误的是:,答案:B:与神经调节和体液调节无关
229,肌张力最大的收缩是,答案:E:完全强直收缩
230,蛋白质物理热价大于生物热价的原因,答案:D:蛋白质在体内没有完全被氧化
231,下列哪些情况下呼吸商较大,答案:D:肌肉剧烈活动时
232,左侧大脑皮层中央后回受损后, 躯体感觉障碍的部位是
233,锌指结构属于蛋白质的哪种结构?,答案:C:模体
234,下列有利于对抗动脉粥样硬化的是,答案:D:HDL
235,下列不含羟基的氨基酸有(),答案:D:缬氨酸
236,肌红蛋白缺少()级结构,答案:D:四
237,不参与核小体构成的是,答案:E:H5
238,神经纤维的髓鞘由哪项构成?,答案:D:鞘磷脂
239,鞘磷脂的功能是(),答案:E:构成神经髓鞘
240,下列具有强大抗氧化性，可以防止氧化物对人体造成伤害的是()。,答案:D:谷胱 glutathione
241,末梢释放去甲肾上腺素的神经是,答案:C:大部分交感神经节后纤维
242,为延长局麻作用时间并减少吸收，宜采用,答案:C:加入少量肾上腺素
243,下列抗帕金森病药中通过在脑内转变为多巴胺起作用的是,答案:A:左旋多巴
244,氯丙嗪治疗无效的是,答案:C:晕动病所致呕吐
245,具有抗癫痫、抗心律失常作用的药物是,答案:E:苯妥英钠
246,硝酸甘油作用最明显的血管是,答案:B:毛细血管后静脉
247,经体内转化后才具有活性的糖皮质激素类药物是,答案:A:泼尼松
248,下列有关青霉素G叙述中错误的是,答案:C:耐酸，可口服给药
249,细菌对氨基糖苷类产生耐药性原因为,答案:A:细菌产生钝化酶
250,环磷酰胺在体内转化为烷化作用强的代谢物是,答案:E:磷酰胺氮芥
251,在经典激活途径中，激活后直接具有酶活性的成分是?,答案:C:C1s
252,关于HLA-I类分子的分布，下列描述正确的是?,答案:B:所有有核细胞表面
253,下列哪种组合可抑制T细胞的活化?,答案:C:B7(B细胞)——CTLA-4(活化的T细胞)
254,下列哪种受体激活后，启动NK细胞的杀伤活性?,答案:B:KAR
255,最易诱导免疫耐受的抗原是 ?,答案:C:可溶性抗原
256,引起移植排斥反应最重要的抗原是?,答案:D:HLA抗原
257,关于免疫细胞和膜分子，错误的组合是?,答案:E:人成熟红细胞-MHC-I类抗原阳性
258,HLA复合体基因不编码?,答案:B:HLA-I类分子的轻链(β2m)
259,下列关于肿瘤免疫的叙述错误的是?,答案:D:静止和活化的巨噬细胞均能杀瘤细胞
260,关于透明软骨细胞的叙述，哪项错误,答案:C:同源细胞群来自于同一个成骨细胞
261,食管上皮属于哪种上皮?,答案:A:未角化复层扁平上皮
262,加固上皮细胞与基膜的连接是:,答案:A:半桥粒
263,最需注意避孕的时期为月经周期中,答案:D:第12~16天
264,胞核较小，胞质嗜酸性、可含空泡和异物颗粒的细胞是:,答案:D:巨噬细胞
265,肌性动脉中膜内产生基质和纤维的细胞是,答案:C:平滑肌细胞
266,下列关于神经元的描述，哪项错误:,答案:B:神经元胞体发出轴突和树突的部位称为轴丘
267,电突触实际上是:,答案:A:缝隙连接
268,关于T细胞，哪项正确,答案:D:细胞表面有特异性抗原受体
269,分泌醛固酮的结构是,答案:D:肾上腺皮质球状带
270,肠腺潘氏细胞内的嗜酸性分泌颗粒内含有,答案:D:溶菌酶
271,男， 14 岁，右大腿深部巨大血管瘤，术后情况良好，伤口一期愈合。拆线后下床活动效死亡。应考虑( ),答案:D:肺动脉栓塞
272,"女性，,60岁,慢性支气管炎近10年,近3年来感觉气短、胸闷、呼吸困难。查体:桶状胸,胸廓心浊音界缩小,肝浊音界下降;听诊呼吸音减弱。不符合该患者疾病的描述是 ( )",答案:D. 肺间质广泛纤维化
273,某男，35岁，汽车司机，常感胃不适，时而痛疼，诊断为胃溃疡。其不加重视，忽一日，其暴亡，尸检发现腹腔有大量积血。则死因可能是,答案:D:胃溃疡造成的大出血
274,一名中年尸检病例，蛋白尿、高血压多年，前数年有多尿，夜尿。多次化验无脓尿、菌尿。近日因面色苍白身体虚弱、呕吐而人院。住院数日后，抽搐、昏迷而死亡。则其肾脏肉眼观可能表现,答案:D:颗粒性固缩肾
275,某尸检发现，其肺体积增大边缘钝圆。色灰白，质软而缺乏弹性，指压后遗留压痕。则此人死因可能是,答案:D:肺气肿
276,女性患者，15岁。低热伴乏力、食欲缺乏、恶心、呕吐3天，就诊时发现巩膜黄染。实验室检査:ALT:860 U/L, TBil 120 umol/L出生时曾注射疫苗。本病的病理特点不包括()
277,脑膜炎患者脑脊液标本离心后取沉渣涂片镜检用墨汁染色，镜下可见直径4~12μm圆形菌体，外周有一透明肥厚荚膜，引起脑膜炎的微生物是 ?,答案:A:新生隐球菌
278,6岁男孩,被蚊子叮咬后出现发热、头痛
279,某患者,发热39℃
